Info:TIM: 6625
Info: Gravity RAW data:
x	y	z	
Info:ACC: 10.262365	0.768616	0.805701	
Info:ACC: 10.108643	0.462964	1.110754	
Info:ACC: 9.954321	0.310437	1.263879	
Info:ACC: 9.954321	0.464758	1.569531	
Info:ACC: 9.649267	0.618481	1.721460	
Info:ACC: 9.189893	0.466553	2.177844	
Info:ACC: 8.423670	0.468945	2.788550	
info: :set_lcd_on:6639440:294: set lcd?
info: :set_lcd_on:6639440:297: set lcd on
info: :ILI9163C_CommInit:6639595:820: ILI9163C_CommInit ok
info: :tp_exit_sleep:6639625:185: tp_exit_sleep
info: :get_service_queue:6639625:133: get sema for service queue
info: :show_step:6639737:351: show_step 410.
Info:TIM: 6632
Info: Gravity RAW data:
x	y	z	
GDB->counter = 0
Info:ACC: 8.118616	1.085034	3.553577	
Info:ACC: 8.120410	1.392480	3.706104	
Info:ACC: 7.814758	1.086231	4.011157	
Info:ACC: 7.660437	0.934900	4.470532	
Info:ACC: 7.660437	1.089819	4.929907	
Info:ACC: 7.661035	1.550989	5.235559	
Info:ACC: 7.049731	1.552185	5.384497	
Info:ACC: 5.824133	1.245935	5.379712	
Info:ACC: 4.750464	0.787158	5.989221	
Info:ACC: 4.290491	0.790149	6.447998	
Info:ACC: 4.137366	0.791345	6.752454	
Info:ACC: 3.371143	0.485095	6.442017	
Info:ACC: 2.297473	0.024524	6.132776	
Info:ACC: 1.836902	-0.281726	6.437232	
Info:ACC: 1.683179	-0.127405	7.049731	
Info:ACC: 1.683777	0.028711	7.509705	
Info:ACC: 1.683777	-0.123816	7.355981	
Info:ACC: 1.376331	-0.736914	7.352991	
Info:ACC: 0.608911	-1.348816	7.812366	
Info:ACC: 1.677795	-2.112048	8.584570	
Info:ACC: 3.206653	-2.261585	9.353186	
Info:ACC: 3.207251	-2.566638	9.045141	
Info:ACC: 2.438037	-2.876477	8.427856	
Info:ACC: 1.825537	-3.334058	9.043945	
Info:ACC: 3.506323	-4.557263	9.969275	
Info:ACC: 4.574609	-4.858728	11.043543	
Info:ACC: 5.033984	-4.856336	11.043543	
GDB->counter = 1
Info:ACC: 4.420886	-4.859924	9.969275	
Info:ACC: 4.421484	-5.013648	10.430445	
Info:ACC: 5.492163	-5.010657	11.203247	
Info:ACC: 6.719556	-4.550086	11.048925	
Info:ACC: 5.953931	-4.550683	10.739087	
Info:ACC: 5.188306	-4.400549	9.819738	
Info:ACC: 5.189502	-4.251013	9.054113	
Info:ACC: 5.496350	-4.099683	8.750854	
Info:ACC: 6.261377	-4.254004	8.446399	
Info:ACC: 6.261377	-4.255200	8.138952	
Info:ACC: 5.802002	-4.409522	7.830310	
Info:ACC: 5.341431	-4.716968	7.523462	
Info:ACC: 5.341431	-4.411914	7.370935	
Info:ACC: 5.495154	-4.565637	7.065283	
Info:ACC: 5.953931	-4.566833	6.913953	
Info:ACC: 6.259583	-4.873084	7.068274	
Info:ACC: 6.258386	-5.025610	7.067078	
Info:ACC: 5.799011	-5.025610	7.064685	
Info:ACC: 5.339636	-5.179334	6.910962	
Info:ACC: 5.339038	-5.179334	6.911560	
Info:ACC: 5.645288	-5.178735	7.065283	
Info:ACC: 5.645288	-5.331262	7.219007	
Info:ACC: 5.797815	-5.331262	7.065881	
Info:ACC: 5.644690	-5.178137	7.064087	
Info:ACC: 5.340234	-5.026208	6.758435	
Info:ACC: 5.645288	-5.179932	6.759033	
Info:TIM: 6633
Info: Gravity RAW data:
x	y	z	
GDB->counter = 0
Info:ACC: 5.950342	-5.639307	6.759631	
Info:ACC: 5.643494	-5.793030	6.605310	
Info:ACC: 5.489172	-5.946155	6.757837	
Info:ACC: 5.336047	-5.944959	7.064087	
Info:ACC: 5.335449	-6.096887	7.370935	
Info:ACC: 5.794226	-6.248816	7.680176	
Info:ACC: 6.559851	-6.094495	7.987622	
Info:ACC: 6.560449	-5.939575	8.599524	
Info:ACC: 6.255994	-5.477808	9.057703	
Info:ACC: 5.950940	-5.323486	9.363355	
Info:ACC: 6.104663	-5.015442	9.823926	
Info:ACC: 6.564636	-5.014246	9.979444	
Info:ACC: 6.871484	-4.707995	10.131970	
Info:ACC: 6.413904	-4.094897	10.283300	
Info:ACC: 6.110046	-3.481799	10.281507	
Info:ACC: 5.499341	-3.023621	9.667810	
Info:ACC: 5.654859	-2.567236	8.598328	
Info:ACC: 6.575403	-1.958923	7.683167	
Info:ACC: 7.496545	-1.501941	7.379907	
Info:ACC: 8.110840	-0.890039	7.382300	
Info:ACC: 8.725733	-0.430066	7.536621	
Info:ACC: 8.726331	-0.584387	6.769800	
Info:ACC: 7.806983	-0.587378	6.152514	
Info:ACC: 6.735107	-0.589770	5.538818	
Info:ACC: 7.348206	-0.439038	5.083631	
Info:ACC: 8.420679	-0.133984	4.779773	
Info:ACC: 8.420679	-0.594556	4.472327	
GDB->counter = 1
Info:ACC: 7.958911	-1.054529	4.317407	
Info:ACC: 7.804590	-1.055725	4.012353	
Info:ACC: 8.418286	-0.751270	3.554175	
Info:ACC: 8.265162	-1.058716	3.399255	
Info:ACC: 7.805188	-1.364966	2.938684	
Info:ACC: 7.497144	-1.369153	1.866809	
Info:ACC: 7.957117	-1.219019	1.104175	
Info:ACC: 9.030188	-0.762036	0.955237	
Info:ACC: 9.798803	0.004187	1.415210	
Info:ACC: 9.034973	0.313428	2.024121	
Info:ACC: 7.963098	-0.145349	1.866809	
Info:ACC: 7.195081	-0.758447	1.864416	
Info:ACC: 7.038965	-1.524670	1.406238	
Info:ACC: 7.649072	-1.985242	1.408032	
Info:ACC: 8.106653	-2.444617	1.102978	
Info:ACC: 8.106054	-2.293884	0.491077	
Info:ACC: 8.413501	-1.684375	-0.272754	
Info:ACC: 9.029590	-0.461169	-0.729138	
Info:ACC: 9.493152	0.303259	-0.729736	
Info:ACC: 9.035571	0.456384	-0.577808	
Info:ACC: 8.882446	0.456982	-0.577209	
Info:ACC: 9.188696	0.456982	-0.576611	
Info:ACC: 9.342420	0.763831	-0.269165	
Info:ACC: 9.496740	0.765625	0.343933	
Info:ACC: 9.496740	0.920544	0.648987	
Info:ACC: 9.191089	1.074866	0.954041	
